REGION,ECOSYSTEM,PRODUCT,PRODUCT_VERSION,ENV,STATUS,ZONE,HOSTNAME,FQDN,LOCATION,PERIMETER,DOMAIN,OS_VERSION
APAC,"DATA-HUB-WOW","apache_ibm","1.0","PRD","ACTIVE","CORE","sinvli000005","null","CORE","","","9"
APAC,"DATA-HUB-WOW","apache_ibm","1.0","PRD","ACTIVE","CORE","sinvli000006","null","CORE","","","9"
